Institution,Country,City
AKDENIZ UNIVERSITY,Turkey,ANTALYA
AKSARAY UNIVERSITY,Turkey,Aksaray
ALBERT-LUDWIGS-UNIVERSITAET FREIBURG,Germany,FREIBURG
FRIEDRICH-SCHILLER-UNIVERSITAT JENA,Germany,JENA
GEORG-AUGUST-UNIVERSITAT GOTTINGEN STIFTUNG OFFENTLICHEN RECHTS,Germany,GOTTINGEN
IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,United Kingdom,London
KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,Leuven
KILIS 7 ARALIK UNIVERSITY,Turkey,Kilis
LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,Germany,MUENCHEN
NIGDE OMER HALISDEMIR UNIVERSITY,Turkey,NIGDE
HEIDELBERG UNIVERSITY,Germany,HEIDELBERG
STOCKHOLM UNIVERSITY,Sweden,STOCKHOLM
SVEUCILISTE U ZAGREBU,Croatia,ZAGREB
Tarsus Üniversitesi,Turkey,Mersin
TECHNISCHE UNIVERSITEIT EINDHOVEN,Netherlands,EINDHOVEN
UNIVERSIDAD AUTONOMA DE MADRID,Spain,MADRID
UNIVERSIDAD COMPLUTENSE DE MADRID,Spain,MADRID
UNIVERSIDAD DE ALICANTE,Spain,ALICANTE
UNIVERSIDAD DE SEVILLA,Spain,SEVILLA
UNIVERSIDADE DE AVEIRO,Portugal,AVEIRO
UNIVERSITY OF LISBOA,Portugal,LISBOA
UNIVERSITAET INNSBRUCK,Austria,INNSBRUCK
UNIVERSITY OF COLOGNE,Germany,KOELN
UNIVERSITAT DES SAARLANDES,Germany,SAARBRUCKEN
UNIVERSITE D'AIX MARSEILLE,France,Marseille
UNIVERSITE DE BORDEAUX,France,BORDEAUX
UNIVERSITE DE CAEN NORMANDIE,France,CAEN CEDEX 5
UNIVERSITE DE STRASBOURG,France,STRASBOURG
UNIVERSITE PARIS-SACLAY,France,GIF-SUR-YVETTE
UNIVERSITEIT LEIDEN,Netherlands,LEIDEN
UNIVERSITETET I BERGEN,Norway,BERGEN
"UNIVERSITY OF DUBLIN, TRINITY COLLEGE",Ireland,DUBLIN
UNIVERZITET U BEOGRADU,Serbia,BEOGRAD
UNIVERSITY OF WARSAW,Poland,WARSZAWA
